特性,学年,教科,合理的配慮,指導計画
字が読みにくい,1,国語,罫線付きノートを使う,丁寧に書く習慣を育てる 
体育の球技に不安,6,体育,ルールを簡略化,安心して参加できるようにする 
計算の繰り上がりで混乱,2,算数,色分けして視覚的に示す,手順理解を補助する 
発言のタイミングが合わない,3,社会,発言順を決めてから話す,落ち着いて参加できるようにする 
長文の読解が苦手,5,国語,要約プリントを用意,段階的に理解を助ける 
英語でリスニングが苦手,1,外国語,短いフレーズの反復練習,少しずつ慣れるようにする 
集中が続かない,4,理科,タイマーで学習を区切る,集中しやすい環境を作る 
作文の構成が苦手,6,国語,テンプレートを活用,論理的に文章を作れるようにする 
図形の理解が苦手,3,算数,立体模型を使用,実物で理解を助ける 
体育で走るのが遅い,2,体育,記録より努力を評価,達成感を持てるようにする 
歴史の暗記ができない,5,社会,年表カードを用意,視覚的に流れを把握する 
黒板を見逃すことが多い,1,国語,板書内容を個別に声かけ,注意を促す 
図工で手先が不器用,4,図工,道具を工夫して使いやすくする,成功体験を積ませる 
英語で発音が苦手,6,外国語,歌を取り入れる,楽しく発音を練習する 
話が長くまとまらない,3,国語,要点をまとめるカードを提示,簡潔に話す練習をする 
体育で転びやすい,1,体育,運動場を整備,安全に活動できるようにする 
計算が苦手,5,算数,計算ドリルを分割,少しずつ練習させる 
読書が苦手,2,国語,興味ある本を選ばせる,読書意欲を高める 
社会で地図が読めない,4,社会,簡略化した地図を提示,理解を助ける 
集団活動で声が小さい,6,道徳,発言練習を少人数から始める,自信を持たせる 
作業が遅い,3,図工,事前に材料を準備,作業の負担を軽減する 
音読が苦手,2,国語,短文から練習する,自信を持って読めるようにする 
体育で縄跳びのリズムが取れない,4,体育,音楽に合わせて練習,感覚的に習得できるようにする 
ノートの整理ができない,6,数学,フォーマットプリントを活用,整理して学習に集中できるようにする 
英語で文法理解が苦手,3,外国語,色分けして構造を示す,視覚的に理解しやすくする 
集団で意見を言えない,5,社会,まずペアで発表,徐々に集団発表へ慣れさせる 
話を遮ってしまう,1,国語,発言順カードを使う,待つ習慣を育てる 
体育でボールを怖がる,2,体育,柔らかいボールを使用,安心して活動できるようにする 
図工で道具の扱いが苦手,4,図工,使いやすい道具を準備,活動を楽しめるようにする 
英語のスペル暗記が苦手,6,外国語,反復カードで確認,記憶の定着を助ける 
長文を読むと疲れる,3,国語,段落ごとに区切って読む,集中しやすくする 
計算の見落としが多い,5,算数,正負を色で区別,視覚的に確認を助ける 
歴史人物を混同する,6,社会,人物カードを作成,区別して理解しやすくする 
音楽でリズムがとれない,2,音楽,手拍子から始める,徐々に楽器に移行する 
発表が長くまとまらない,4,国語,発表の型を教える,簡潔に伝える力を育てる 
体育で走るのを嫌がる,1,体育,短距離から挑戦させる,少しずつ自信をつける 
社会で地理が覚えられない,5,社会,写真や映像を活用,興味を持たせる 
黒板の字を写し忘れる,3,国語,板書チェックリストを渡す,自分で確認する習慣を育てる 
作業が雑になる,2,図工,完成見本を提示,丁寧さを意識させる 
英語のスピーキングに消極的,6,外国語,ペア練習から始める,安心して発話できるようにする 
数学の文章題が苦手,4,数学,図や表に整理させる,視覚化して理解を助ける 
体育でルールを覚えにくい,1,体育,イラスト入りルール表を渡す,見ながら活動できるようにする 
読解に時間がかかる,5,国語,音読サポートを導入,文章理解を補助する 
宿題を出し忘れる,3,全教科,提出箱を常設,習慣を定着させる 
集団で話すのが苦手,6,道徳,小グループで意見交換,発言しやすい環境を整える 
計算の順序を間違える,2,算数,手順カードを使う,落ち着いて考えられるようにする 
音楽で歌詞を覚えられない,4,音楽,カードに歌詞を印刷,繰り返し練習する 
体育で動きが遅い,5,体育,個別目標を設定,自分のペースで達成できるようにする 
社会の暗記が苦手,3,社会,クイズ形式で学習,楽しく覚えられるようにする 
図工で片付けができない,1,図工,手順表を掲示,見ながら片付けを進める 
英語でリスニングが苦手,6,外国語,短い文から繰り返す,徐々にスピードに慣れさせる 
多動傾向が強い,6,体育,活動を小グループに分ける,ルール説明を短く区切って行う
書字が困難,5,国語,タブレット入力を許可,漢字練習を音声読み上げと組み合わせる
不安が強い,3,算数,見通しを伝える,計算ドリルは時間を区切って少しずつ行う
聴覚過敏,2,音楽,イヤーマフ使用を許可,演奏時は後方で参加できるようにする
理解の遅れ,4,理科,視覚資料を活用,実験は手順を1つずつ確認させる
自閉的傾向,1,生活,ペア活動を調整,役割を明確にして安心して参加させる
忘れ物が多い,6,社会,持ち物リストを提示,授業冒頭に確認の時間を設ける
衝動性が高い,2,体育,順番カードを活用,待つ場面では小課題を与える
読み書き障害,5,国語,ルビ付き教材を使用,音読は短文に区切って取り組む
集中困難,4,算数,タイマーを活用,短い課題ごとに休憩を入れる
社会的スキルが弱い,3,生活,ロールプレイを導入,挨拶や会話を場面ごとに練習する
計算が苦手,2,算数,計算表を机上に常備,繰り返し練習を少量ずつ行う
感情の起伏が激しい,6,音楽,選択的参加を許可,合唱で声を出せない時は楽器で参加
記憶が定着しにくい,5,理科,振り返りカードを活用,毎時間のまとめを一緒に確認
場面緘黙,1,国語,非言語的表現を許可,絵やジェスチャーで答えられる活動を取り入れる
姿勢保持が難しい,3,図工,休憩用椅子を準備,作業を分割して行う
読みの速度が遅い,6,社会,事前配布資料を許可,本文は教師が読み上げ補助
不注意傾向,4,算数,机上の整理を支援,課題を1問ずつ提示する
協力が苦手,2,体育,ペア決めを教師が調整,成功体験を積ませる活動を取り入れる
表出が単語中心,1,生活,絵カードを使用,やり取りの選択肢を提示して会話を補助
疲れやすい,5,体育,活動量を調整,見学ではなく役割参加を用意する
計算が苦手,3,算数,計算補助具を使用,答え合わせはペアで確認
漢字が覚えにくい,6,国語,習熟度別プリントを準備,タブレットで書き順確認を行う
緊張が強い,2,音楽,少人数発表を取り入れる,全体発表は見学も可とする
集団行動が苦手,4,社会,役割を細分化,協働作業は短時間から慣らす
聴覚理解が遅い,1,生活,視覚支援カードを使用,指示は絵や写真で示す
忘却が早い,3,理科,繰り返しの確認を設定,毎時間復習の時間を確保
興奮しやすい,2,体育,個別の休憩場所を準備,クールダウン活動を設定
文章理解が困難,5,国語,重要語句にマーカーを使用,段落ごとに内容確認を行う
マイペース傾向,6,図工,提出期限に幅を持たせる,工程を写真で確認できるようにする
感覚過敏,2,図工,においの少ない画材を使用,必要に応じて手袋を装着できるようにする
数理解が困難,3,算数,具体物を使って説明,数直線やブロックを活用して理解を促す
対人不安が強い,5,社会,発表はグループ単位で実施,安心できる友人と一緒に取り組む
音読が苦手,4,国語,黙読中心の課題を許可,音読は教師と一対一で行う
運動が苦手,1,体育,得意な動きを活かす場を設ける,成功体験を重視して活動させる
興味の偏りが強い,6,理科,関心のある題材と結びつけて説明,自由研究に活かす
話し言葉が不明瞭,2,国語,発表を録音して確認,視覚的資料を組み合わせて発表させる
落ち着きがない,3,社会,短い活動を複数設定,机間指導で声掛けを増やす
手先が不器用,5,図工,作業補助具を準備,工程を細分化して順番に取り組ませる
板書の写しが遅い,4,国語,板書プリントを配布,重要部分のみ写すようにする
視覚支援が必要,1,算数,色分けした教材を活用,数唱と合わせて数理解を深める
記憶が定着しにくい,6,社会,学習カードで反復,小テストを定期的に実施
仲間関係が不安定,2,生活,ペアを固定して安心感を持たせる,協力活動を短時間から導入
作文が苦手,3,国語,文の枠組みを提示,キーワードカードを使って文を構成させる
身体が不自由,5,体育,代替活動を準備,見学では記録係として参加させる
こだわりが強い,4,理科,手順を事前に知らせる,予想外の変化は事前に説明する
指示理解が遅い,2,算数,簡潔な指示を繰り返す,例題を一緒に解く
聴覚処理が遅い,6,国語,指示を書いて提示,理解を確認しながら進める
授業中に立ち歩く,1,生活,移動可能な役割を設定,座席近くに活動材料を配置
姿勢保持が難しい,3,図工,休憩時間を短く多めに設定,机や椅子を体に合ったものにする
発表が苦手,4,社会,ペア発表から始める,ポスターやスライドを補助として使う
抽象的思考が苦手,5,算数,図や具体例を使って説明,演習問題は具体物と結びつける
不注意でミスが多い,6,理科,チェックリストを配布,実験後に振り返りを必ず行う
大きな音が苦手,2,音楽,楽器を選ばせる,音量を下げて練習する
会話が一方的,3,国語,聞く姿勢を練習する活動を取り入れる,ロールプレイで相互会話を体験する
体力が少ない,1,体育,運動量を調整,休憩しながら継続できる活動を取り入れる
文章題が苦手,4,算数,絵図で問題を整理,キーワードに下線を引いて理解を助ける
緊張で発言できない,5,国語,事前に発表内容を準備させる,友達と一緒に発表する
時間管理が苦手,6,社会,タイマーを活用,活動終了時刻を明確に示す
感情のコントロールが苦手,3,体育,休憩の合図を設定,気持ちの切り替え練習を取り入れる
音声指示が通りにくい（理由はさまざま）,2,算数,絵や図で補助,作業工程を写真で示す
自信をなくしやすい,4,国語,小さな成功を積ませる,音読は短文から始めて褒める
落ち着きが続かない,1,生活,活動を細分化する,切り替えの合図を視覚的に示す
友人関係に不安,6,社会,ペアやグループを固定,交流活動を短時間で設定
視覚認知に困難,5,理科,拡大教材を使用,実物教材で体験的に学習
集中が続かない,3,国語,課題を短く区切る,合間に振り返りを挟む
読み飛ばしが多い,2,国語,指で文字を追うことを許可,行ごとに区切って読む
こだわりが強い,6,算数,手順を固定して説明,変更点は事前に伝える
表現が単調,4,音楽,リズム打ちから始める,模倣活動で表現の幅を広げる
理解の定着が遅い,1,算数,毎日短時間の復習,できたことをシールで記録する
緊張で固まる,5,国語,少人数で発表練習,徐々に大きな場に広げる
活動中に疲れる,3,体育,短時間活動を複数設定,休憩をこまめに入れる
抽象語が理解困難,2,社会,具体例と写真で説明,振り返りで言葉と意味を確認
感情表現が乏しい,6,図工,感情カードを活用,作品に気持ちを表せるよう声掛け
計算が苦手,4,算数,手順表を配布,隣席の友達と確認し合う
会話の順番を守れない,1,生活,順番カードを使う,ゲームで順番を体験
声が小さい,3,国語,発表時にマイクを使用,短い文で発表させて自信をつける
作業が遅い,5,図工,締め切りに余裕を持たせる,工程を小分けにして進める
指示を聞き漏らす,2,体育,視覚合図を使用,デモンストレーションを見せる
学習に不安が強い,6,理科,振り返りプリントを活用,予習復習を家庭と連携
忘れやすい,4,社会,キーワードカードを配布,授業冒頭に前回の復習を行う
協力が苦手,1,生活,役割を単純化,成功体験を積める協力ゲームを導入
読み間違いが多い,3,国語,ふりがな付き教材を使用,ペアで交代しながら音読
対人緊張が強い,5,体育,見学から始める,安心できる場面で少しずつ参加
板書を写すのが遅い,2,算数,プリントを配布,重要語句だけ写させる
切り替えが苦手,6,社会,タイマーで予告,活動前に見通しを持たせる
会話の順番を守れない,4,国語,話す順番をカードで示す,相手の話を聞く練習をする
計算が苦手,3,算数,位取り表を使用,答え合わせを友達と行う
運動が苦手,1,体育,できる動きを中心に設定,達成感を味わえるよう配慮
感情が高ぶりやすい,5,音楽,一時退席できる場を準備,落ち着いてから参加再開
音声指示が通りにくい（理由はさまざま）,2,国語,指示を短く区切る,絵カードで補助
計算が苦手,4,算数,時間制限をなくす,計算補助具を使用
不安で発言できない,6,社会,事前に答えを準備させる,グループ発表から始める
注意がそれやすい,1,生活,活動を短く分ける,合図で集中を促す
漢字が覚えにくい,5,国語,反復練習カードを使用,タブレットで書き順確認
体力が少ない,3,体育,活動時間を短縮,休憩をこまめに設定
指示を忘れやすい,2,理科,手順表を机上に置く,友達と確認させる
言葉が不明瞭,6,音楽,歌唱より楽器活動を中心にする,表現方法を選ばせる
作業の順序がわからない,4,図工,工程をイラストで提示,進み具合を確認する
衝動的に動く,1,体育,順番カードを渡す,待機時間に役割を与える
記憶が定着しにくい,5,社会,要点カードを配布,授業終わりに振り返りを行う
文字を小さく書く,3,国語,大きなマスのノートを使用,教師が筆圧を指導
感覚刺激を求めやすい,2,図工,安全な素材を準備,作業を短時間で区切る
人前で話せない,6,国語,録画発表を許可,小集団での発表から始める
授業中に立ち歩く,4,算数,机周辺でできる課題を準備,声掛けで席に戻す
抽象的概念が苦手,1,算数,具体物で操作活動,日常生活と結びつけて説明
感情のコントロールが苦手,5,体育,休憩場所を用意,気持ちを落ち着けて再参加
作文が苦手,3,国語,文章構成シートを使う,段落ごとに一緒に確認する
聴覚理解が遅い,2,社会,絵地図や写真で説明,指示を繰り返す
緊張で声が出ない,6,音楽,楽器演奏を中心に参加,歌唱は口パクでも可
理解が遅い,4,理科,実験手順を短く分ける,一緒に進める
気が散りやすい,1,国語,机上の物を整理,課題を1問ずつ提示
忘れ物が多い,5,算数,チェックリストを配布,授業前に持ち物確認
作業が遅い,3,図工,工程を分けて示す,締め切りに余裕を持たせる
会話のキャッチボールが苦手,2,国語,ロールプレイで練習,順番をカードで示す
運動が苦手,6,体育,選択できる運動を準備,成功体験を重視
板書を写すのが遅い,4,社会,板書プリントを配布,重要部分だけ記録
対人不安が強い,1,生活,ペアを固定,安心できる友達と取り組む
抽象的説明が理解困難,5,算数,図や例を活用,具体的な数操作を取り入れる
緊張で発表できない,3,国語,ペア発表から始める,慣れてきたら全体発表へ
LD,1,算数,数字カードを使って練習,操作活動を多めに取り入れる
知的障害,3,国語,短文で答える問題を用意,教師が補助して読み上げる
ADHD,4,理科,観察時間を短く区切る,観察ポイントを明確に示す
自閉スペクトラム症,2,音楽,曲の流れを絵で説明,活動の開始と終了を合図する
LD,6,外国語,スペルを色分け,音読練習を録音して確認する
知的障害,5,算数,数直線を使って理解させる,繰り返し練習を行う
ADHD,1,生活,活動予定をイラストで示す,終わったらマグネットを移動させる
自閉スペクトラム症,3,全教科,作業手順をカード化,役割を固定する
LD,2,国語,読み上げソフトを使用,答えは口頭でも認める
知的障害,4,理科,観察物を大きく提示,振り返りは教師と一緒に行う
ADHD,6,国語,読書感想文の構成を枠に沿って書く,下書きを分割して仕上げる
自閉スペクトラム症,1,体育,動きの順番を絵カードで見せる,繰り返し練習を行う
LD,3,算数,九九を歌やリズムで練習,正解時に即フィードバック
知的障害,5,社会,地図を単純化して提示,地域探索を体験させる
ADHD,2,国語,短い読み物から取り組む,発表方法を選択させる
自閉スペクトラム症,4,図工,完成形を事前に示す,手順を一緒に確認する
LD,6,理科,用語をイラスト付きで提示,観察結果を口頭で共有
知的障害,1,算数,具体物を並べて数える活動,同じ手順を繰り返し練習
ADHD,3,音楽,短時間でリズム練習,成功したら即時に褒める
自閉スペクトラム症,5,外国語,授業の流れを視覚化,ペア練習を固定メンバーで行う
LD,2,社会,重要語句を強調して提示,復唱練習を行う
知的障害,6,体育,動きを一つずつ指導,ゲーム要素を取り入れる
ADHD,4,算数,計算問題を小分けに出題,進み具合をグラフ化
自閉スペクトラム症,1,国語,読む順番を事前に伝える,交代で音読させる
LD,3,理科,観察結果をシールで分類,まとめは教師と一緒に書く
知的障害,5,図工,少ない材料で制作,色や形を選べるようにする
ADHD,2,外国語,短いフレーズを繰り返す,ジェスチャーを使った練習
自閉スペクトラム症,6,国語,授業前に内容を予告,文章を段落ごとに分けて読む
LD,4,算数,図形を操作できる教材を活用,問題を視覚的に整理
知的障害,1,生活,日課をイラストで提示,成功をシールで可視化
ADHD,5,理科,観察活動を短時間で区切る,結果の記録を教師が補助する
自閉スペクトラム症,2,社会,学習内容を写真で示す,授業開始時に流れを伝える
LD,4,国語,文章を短く区切る,要点を箇条書きで整理する
知的障害,6,外国語,挨拶表現を繰り返す,カードを使った活動を取り入れる
ADHD,1,図工,作業を小分けにする,完成までの流れを確認する
自閉スペクトラム症,3,体育,動作の順番を絵カードで示す,練習を少人数で行う
LD,5,算数,計算過程を色分けする,段階的に練習する
知的障害,2,国語,絵本を読み聞かせる,質問は選択肢から答える形にする
ADHD,4,社会,重要語をカード化,クイズ形式で確認する
自閉スペクトラム症,6,音楽,活動の始まりと終わりを合図する,同じ曲を繰り返し練習する
LD,1,算数,数のまとまりをブロックで示す,問題を少数に絞る
知的障害,3,理科,観察物を大きく提示,発見したことを一緒にまとめる
ADHD,5,外国語,短い歌を取り入れる,繰り返し発音練習をする
自閉スペクトラム症,2,生活,活動手順をイラストで提示,できたらスタンプで記録する
LD,4,社会,用語を絵と一緒に提示,確認テストを小分けに行う
知的障害,6,算数,数直線を使って理解,繰り返し練習を行う
ADHD,1,国語,短い文の音読から始める,交代で読む活動にする
自閉スペクトラム症,3,図工,見本を示して制作,手順を区切って取り組む
LD,5,理科,観察記録をイラストで描く,教師が言葉で補足する
知的障害,2,体育,動きを分解して指導,成功体験を増やす
ADHD,4,国語,発表を小グループで行う,発表内容を事前にまとめる
自閉スペクトラム症,6,社会,学習の流れを提示,プリントはシンプルにする
LD,1,国語,ひらがなを大きく提示,書き取りは少量にする
知的障害,3,音楽,同じリズムを繰り返す,楽器を固定して使う
ADHD,5,図工,作業を時間で区切る,教師が進行を確認する
自閉スペクトラム症,2,算数,手順を絵で説明する,数のまとまりを具体物で示す
LD,4,外国語,単語をカードで提示,ペアで練習させる
知的障害,6,理科,実験手順を簡略化,安全面を教師が補助する
ADHD,1,生活,活動予定を写真で見せる,終わったら消して確認する
自閉スペクトラム症,3,国語,読む順番を決めておく,短い文を繰り返し練習する
LD,5,国語,重要語句を色分けして提示,理解した内容を口頭で確認する
知的障害,2,算数,具体物を使って数える,同じ手順を繰り返し練習する
ADHD,4,理科,実験を小グループで実施,役割を固定して集中を促す
自閉スペクトラム症,6,社会,授業の流れを板書で明示,活動を順番通りに進める
LD,1,音楽,歌詞を大きく提示,短いフレーズを繰り返す
知的障害,3,国語,読み聞かせを多用する,答えを選択肢から選ばせる
ADHD,5,体育,活動を短い時間で区切る,ルールを絵で説明する
自閉スペクトラム症,2,図工,完成作品を事前に提示,手順を一緒に確認する
LD,4,算数,図形の操作教材を使う,考え方を言葉にさせる
知的障害,6,外国語,挨拶練習を繰り返す,カードゲームを取り入れる
ADHD,1,生活,予定を絵で見せる,できたらシールを貼る
自閉スペクトラム症,3,体育,動作の流れを写真で提示,少人数で練習する
LD,5,理科,用語をイラストで提示,観察結果を口頭で言わせる
知的障害,2,社会,地域の写真を見せる,場所を実際に見学する
ADHD,4,国語,文章を短く区切る,音読をペアで行う
自閉スペクトラム症,6,図工,見本を提示して制作,完成までを教師と一緒に確認する
LD,1,算数,数字カードを操作させる,答え合わせは口頭で行う
知的障害,3,理科,観察物を拡大して提示,答えを一緒にまとめる
ADHD,5,外国語,短い歌を繰り返す,単語をジェスチャーで練習する
自閉スペクトラム症,2,国語,読む順番をあらかじめ伝える,短文を繰り返す
LD,4,社会,重要語句をカード化,復習を小テストで確認する
知的障害,6,算数,数直線を使って理解,繰り返し演習を行う
ADHD,1,国語,短文から音読させる,交代で読む練習をする
自閉スペクトラム症,3,音楽,同じ曲を繰り返す,リズム練習を固定化する
LD,5,図工,手順を絵で説明する,制作を小分けに進める
知的障害,2,体育,動きを一つずつ区切る,成功体験を積ませる
ADHD,4,社会,重要語を繰り返し確認する,発表を小グループで行う
自閉スペクトラム症,6,外国語,授業の流れを提示,同じペアで練習する
LD,1,国語,ひらがなを大きく示す,少ない字数から練習する
知的障害,3,生活,日課を絵で示す,できたらスタンプで記録する
ADHD,5,国語,文章を短く区切る,音読を小グループで行う
自閉スペクトラム症,2,算数,手順を絵で示す,計算を段階的に練習する
LD,4,理科,観察結果をシールで分類,まとめは教師と一緒に行う
知的障害,6,社会,地図を単純化して提示,地域探索を体験させる
ADHD,1,図工,作業を短時間で区切る,教師が進行を確認する
自閉スペクトラム症,3,国語,読む順番を事前に伝える,短文を繰り返す
LD,5,外国語,単語をカードで提示,ペアで練習させる
知的障害,2,理科,観察物を大きく提示,答えを一緒にまとめる
ADHD,4,算数,計算問題を小分けに出す,進み具合をグラフ化する
自閉スペクトラム症,6,音楽,活動の始まりと終わりを合図,同じ曲を繰り返す
LD,1,社会,重要語句を強調して提示,復唱練習を行う
知的障害,3,体育,動きを一つずつ分けて練習,ゲーム要素を加える
ADHD,5,理科,実験を短時間で区切る,役割を分けて集中を促す
自閉スペクトラム症,2,図工,完成形を示す,手順を一緒に確認する
LD,4,国語,読解文を短く区切る,要点を箇条書きにする
知的障害,6,外国語,挨拶表現を繰り返す,カードを使った活動をする
ADHD,1,生活,予定を絵で見せる,できたらシールを貼る
自閉スペクトラム症,3,算数,問題を一問ずつ提示,具体物を操作させる
LD,5,図工,見本を見せてから制作,段階ごとに確認する
知的障害,2,国語,絵本を読み聞かせる,選択肢から答えさせる
ADHD,4,社会,重要語をカード化,クイズ形式で確認する
自閉スペクトラム症,6,国語,授業前に内容を予告,文章を段落ごとに読む
LD,1,算数,数字カードを使って練習,答え合わせは口頭で行う
知的障害,3,理科,観察物を拡大して提示,教師と一緒にまとめる
ADHD,5,外国語,短い歌を取り入れる,繰り返し発音練習をする
自閉スペクトラム症,2,音楽,曲の流れを絵で説明,活動の合図をする
LD,4,算数,図形を操作できる教材を使う,問題を視覚的に整理する
知的障害,6,図工,少ない材料で制作,色や形を選べるようにする
ADHD,1,国語,短い文の音読から始める,交代で読む活動にする
自閉スペクトラム症,3,社会,授業の流れを提示,プリントはシンプルにする
LD,4,国語,重要語を色分けする,要点を口頭でまとめさせる
知的障害,2,算数,数の操作を具体物で行う,同じ手順を繰り返し練習する
ADHD,5,理科,実験を短時間で区切る,役割分担を明確にする
自閉スペクトラム症,3,社会,授業の流れを板書する,活動を順に確認する
LD,6,外国語,単語をカードで提示する,ペアで発音練習をする
知的障害,1,国語,絵本を読み聞かせる,選択肢から答えさせる
ADHD,4,体育,活動を短い時間で区切る,ルールを絵で説明する
自閉スペクトラム症,2,図工,完成形を提示する,手順を一緒に確認する
LD,5,算数,図形を操作できる教材を使う,考え方を言葉にさせる
知的障害,3,音楽,同じ曲を繰り返す,リズム練習を固定化する
ADHD,6,国語,文章を短く区切る,ペアで音読練習をする
自閉スペクトラム症,1,算数,数字カードを使う,一問ずつ確認する
LD,4,理科,観察結果をシールで分類する,まとめは教師と一緒に行う
知的障害,2,社会,地域の写真を見せる,場所を実際に見学する
ADHD,5,外国語,短い歌を繰り返す,単語をジェスチャーで練習する
自閉スペクトラム症,3,国語,読む順番を事前に伝える,短文を繰り返す
LD,6,図工,手順を絵で説明する,制作を小分けに進める
知的障害,1,生活,予定を絵で見せる,できたらシールを貼る
ADHD,4,理科,実験を小グループで実施する,役割を固定して集中を促す
自閉スペクトラム症,2,体育,動作の流れを写真で提示,少人数で練習する
LD,5,国語,読解文を短く区切る,要点を箇条書きにする
知的障害,3,算数,具体物を使って数える,同じ手順を繰り返す
ADHD,6,社会,重要語を繰り返し確認する,発表を小グループで行う
自閉スペクトラム症,1,図工,作業工程を写真で見せる,完成までを一緒に確認する
LD,4,外国語,単語を絵カードで提示する,音読を繰り返す
知的障害,2,理科,観察物を拡大して提示,答えを一緒にまとめる
ADHD,5,国語,重要語句を色分けして提示,理解した内容を口頭で確認する
自閉スペクトラム症,3,音楽,活動の流れを絵で説明する,同じ曲を繰り返す
LD,6,算数,数直線を使って理解させる,繰り返し演習を行う
知的障害,1,国語,ひらがなを大きく示す,少ない字数から練習する
